Periodo;MONTO_NETO
201904;613566984
201905;716690225,1
201906;884649680,8
201907;886730117,3
201908;895096054,9
201909;1009653284
201910;930716490
201911;1077038572
201912;1255389077
202001;1162402627
202002;1156640836
202003;1129730323
202004;745046749,8
202005;804070193,5
202006;911893425,2
202007;912678699,7
202008;1089650338
202009;1077668533
202010;1214886111
202011;1239495461
202012;1265827588
202101;1362689250
202102;1503560857
202103;1404151924
202104;1553122617
202105;1977180224
202106;2004152488
202107;1845994350
202108;2185173776
202109;2289014733
202110;2313542155
